Name(???),Commodities,Pesticides,MRL(mg/kg)
???,Citrus Fruits,Fludioxonil,10
???,Citrus Fruits,Fluxapyroxad,1
???,Citrus Fruits,Pyraclostrobin,2
???,Citrus Fruits,Pyrethrins,1
???,Citrus Fruits,Pyrimethanil,7
???,Citrus Fruits,Pirimicarb,0.05
???,Citrus Fruits,Pirimiphos-methyl,1
???,Citrus Fruits,Heptachlor : heptachlor ? heptachlor epoxide? ??,0.01
????,Coffee bean,Glufosinate(ammonium),0.1
????,Coffee bean,Glyphosate,1
????,Coffee bean,Daminozide,N.D.
????,Coffee bean,Disulfoton,0.2
????,Coffee bean,Monocrotophos,0.1
????,Coffee bean,Benomyl,0.03
????,Coffee bean,Benfuracarb,0.1
????,Coffee bean,Boscalid,0.05
????,Coffee bean,Cyantraniliprole,0.03
????,Coffee bean,Cypermethrin,0.05
????,Coffee bean,Cyproconazole,0.09
????,Coffee bean,Cyhalothrin,0.05
????,Coffee bean,Saflufenacil,0.03
????,Coffee bean,Spirodiclofen,0.03
????,Coffee bean,Azoxystrobin,0.02
????,Coffee bean,Ethephon,0.1
????,Coffee bean,Epoxiconazole,0.05
????,Coffee bean,Oxyfluorfen,0.05
????,Coffee bean,Imidacloprid,0.7
????,Coffee bean,Carbendazim,0.03
????,Coffee bean,Carbosulfan,0.1
????,Coffee bean,Carbofuran,0.1
????,Coffee bean,Chlorantraniliprole,0.03
????,Coffee bean,Chlorpyrifos,0.05
????,Coffee bean,Clothianidin,0.05
????,Coffee bean,Terbufos,0.05
????,Coffee bean,Tebuconazole,0.1
????,Coffee bean,Triadimenol,0.15
????,Coffee bean,Triazophos,0.05
????,Coffee bean,Trifloxystrobin,0.01
????,Coffee bean,Thiamethoxam,0.1
????,Coffee bean,Thiophanate-methyl,0.03
????,Coffee bean,Fenamiphos,0.1
????,Coffee bean,Fenpropathrin,0.02
????,Coffee bean,Phorate,0.05
????,Coffee bean,Furathiocarb,0.1
????,Coffee bean,Procymidone,0.05
????,Coffee bean,Profenofos,0.03
????,Coffee bean,Propiconazole,0.02
????,Coffee bean,Pyraclostrobin,0.3
????,Coffee bean,Pirimicarb,0.05
????,Coffee bean,Pyriproxyfen,0.05
????,Coffee bean,Hexythiazox,0.09
???,Corn,Glufosinate(ammonium),0.05
???,Corn,Nabam,0.05
???,Corn,Nicosulfuron,0.3
???,Corn,Nitrapyrin,0.1
???,Corn,Diquat,0.1
???,Corn,Deltamethrin,0.1
???,Corn,Dimethenamid,0.1
???,Corn,Dimethoate,0.1
???,Corn,Dimethyl dithiocarbamates,0.05
???,Corn,Diuron,1
???,Corn,Dicamba,0.01
???,Corn,Dithiocarbamates,0.05
???,Corn,Difenoconazole,0.05
???,Corn,Diflubenzuron,0.05
???,Corn,Linuron,0.05
???,Corn,"Lindane, £^-BHC",0.01
???,Corn,maneb,0.05
???,Corn,Mancozeb,0.05
???,Corn,Malathion,2
???,Corn,Mesotrione,0.2
???,Corn,Metaflumizone,0.05
???,Corn,Metalaxyl,0.05
???,Corn,Methomyl,0.05
???,Corn,Methoprene,5
???,Corn,Methoxychlor,2
???,Corn,Methoxyfenozide,0.03
???,Corn,Metolachlor,0.1
???,Corn,Metribuzin,0.05
???,Corn,Metconazole,0.02
???,Corn,Metiram,0.05
???,Corn,Methiocarb,0.05
???,Corn,Monocrotophos,0.05
???,Corn,Benomyl,0.5
???,Corn,Bensultap,0.1
???,Corn,Bentazone,0.05
???,Corn,Benfuracarb,0.1
???,Corn,Bitertanol,0.05
???,Corn,Bifenox,0.05
???,Corn,Cypermethrin,0.05
???,Corn,Cyfluthrin,0.01
???,Corn,Cyhalothrin,0.05
???,Corn,Saflufenacil,0.03
???,Corn,Sethoxydim,0.2
???,Corn,Spinosad,1
???,Corn,Simazine,0.25
???,Corn,Acetochlor,0.05
???,Corn,Acephate,0.5
???,Corn,Isofenphos,0.02
???,Corn,Azoxystrobin,0.02
???,Corn,Azinphos-methyl,0.2
???,Corn,Aldicarb,0.05
???,Corn,Alachlor,0.2
???,Corn,Etofenprox,0.1
???,Corn,Ethoprophos(Ethoprop),0.02
???,Corn,Ethiofencarb,1
???,Corn,Ethylene dibromide : EDB,0.5
???,Corn,Omethoate,0.01
???,Corn,Oxadixyl,0.1
???,Corn,Oxamyl,0.05
???,Corn,Oxyfluorfen,0.05
???,Corn,Imazalil,0.05
???,Corn,Iminoctadine,0.05
???,Corn,Imidacloprid,0.01
???,Corn,"2,4-D",0.05
???,Corn,Indoxacarb,0.05
???,Corn,Zineb,0.05
???,Corn,Ziram,0.05
???,Corn,Carbaryl : NAC,1
???,Corn,Carbendazim,0.5
???,Corn,Carbosulfan,0.1
???,Corn,Carbofuran,0.1
???,Corn,Carboxin,0.2
???,Corn,Cartap hydrochloride,0.1
???,Corn,Quintozene,0.01
???,Corn,Chlorantraniliprole,0.05
???,Corn,Chlordane,0.02
???,Corn,Chlormequat,5
???,Corn,Chlorfenapyr,0.05
???,Corn,Chlorpropham,0.05
???,Corn,Tralomethrin,0.1
???,Corn,Triadimenol,0.05
???,Corn,Triforine,0.01
???,Corn,Trifloxystrobin,0.02
???,Corn,Trifluralin,0.05
???,Corn,Thiram,0.05
???,Corn,Thiamethoxam,0.05
???,Corn,Thiodicarb,0.05
???,Corn,Thiobencarb,0.1
???,Corn,Thiocyclam,0.1
???,Corn,Thiophanate-methyl,0.5
???,Corn,Parathion,0.1
???,Corn,Parathion-Methyl,1
???,Corn,Paraquat,0.1
???,Corn,Permethrin(Permetrin),0.05
???,Corn,Ferbam,0.05
???,Corn,Pendimethalin,0.2
???,Corn,Fenvalerate,2
???,Corn,Fensulfothion,0.1
???,Corn,Phenthoate : PAP,0.2
???,Corn,Phorate,0.05
???,Corn,Phosmet(PMP,0.05
???,Corn,Phosphamidone,0.1
???,Corn,Phoxim,0.05
???,Corn,Furathiocarb,0.1
???,Corn,Prometryn,0.2
???,Corn,Propargite,0.1
???,Corn,Propineb,0.05
???,Corn,Propisochlor,0.05
???,Corn,Propiconazole,1
???,Corn,Flubendiamide,0.05
???,Corn,Flucythrinate,0.05
???,Corn,Flufenoxuron,0.05
???,Corn,Fluxapyroxad,0.15
???,Corn,Pyraclostrobin,0.02
???,Corn,Pyrethrins,3
???,Corn,Pirimicarb,0.05
???,Corn,Pirimiphos-methyl,5
??,Cotton seed,Glufosinate(ammonium),3
??,Cotton seed,Glyphosate,15
??,Cotton seed,Nitrapyrin,1
??,Cotton seed,Diquat,1
??,Cotton seed,Dimethoate,0.1
??,Cotton seed,Dimethipin,0.5
??,Cotton seed,Diuron,1
??,Cotton seed,Dicamba,3
??,Cotton seed,Dicofol,0.1
??,Cotton seed,Dicloran,0.1
??,Cotton seed,Dichlofluanid,15
??,Cotton seed,Linuron,0.2
??,Cotton seed,Malathion,2
??,Cotton seed,Maleic hydrazide,40
??,Cotton seed,Methamidophos,0.1
??,Cotton seed,Metalaxyl,0.05
??,Cotton seed,Methomyl,0.4
??,Cotton seed,Metolachlor,0.1
??,Cotton seed,Metconazole,0.25
??,Cotton seed,Monocrotophos,0.1
??,Cotton seed,Benomyl,0.2
??,Cotton seed,Benfuracarb,0.1
??,Cotton seed,Bromopropylate,1
??,Cotton seed,Cyantraniliprole,1.5
??,Cotton seed,Cypermethrin,0.2
??,Cotton seed,Cyfluthrin,0.05
??,Cotton seed,Cyhalothrin,0.02
??,Cotton seed,Saflufenacil,0.2
??,Cotton seed,Sulfoxaflor,0.3
??,Cotton seed,Sethoxydim,5
??,Cotton seed,Acetamiprid,0.6
??,Cotton seed,Acephate,2
??,Cotton seed,Azinphos-methyl,0.2
??,Cotton seed,Ethephon,2
??,Cotton seed,Ethiofencarb,5
??,Cotton seed,Oxamyl,0.2
??,Cotton seed,Oxyfluorfen,0.05
??,Cotton seed,Imazalil,0.05
??,Cotton seed,"2,4-D",0.1
??,Cotton seed,Carbaryl : NAC,0.5
??,Cotton seed,Carbendazim,0.2
??,Cotton seed,Carbosulfan,0.1
??,Cotton seed,Carbofuran,0.1
??,Cotton seed,Carboxin,0.2
??,Cotton seed,Captan,2
??,Cotton seed,Quizalofop-ethyl,0.06
??,Cotton seed,Quintozene,0.01
??,Cotton seed,Clethodim,0.2
??,Cotton seed,Chlorantraniliprole,0.3
??,Cotton seed,Chlorpropham,0.05
??,Cotton seed,Chlorpyrifos,0.15
??,Cotton seed,Clomazone,0.05
??,Cotton seed,Clofentezine,1
??,Cotton seed,Triazophos,0.1
??,Cotton seed,Trifluralin,0.05
??,Cotton seed,Thiodicarb,0.4
??,Cotton seed,Thiophanate-methyl,0.2
??,Cotton seed,Parathion,1
??,Cotton seed,Parathion-Methyl,1
??,Cotton seed,Paraquat,0.2
??,Cotton seed,Permethrin(Permetrin),0.5
??,Cotton seed,Fenamiphos,0.05
??,Cotton seed,Fenoxaprop-ethyl,0.05
??,Cotton seed,Pendimethalin,0.1
??,Cotton seed,Fenvalerate,0.2
??,Cotton seed,Fenbutatin oxide,2
??,Cotton seed,Fensulfothion,0.02
??,Cotton seed,Fenpropathrin,1
??,Cotton seed,Phorate,0.05
??,Cotton seed,Phoxim,0.05
??,Cotton seed,Furathiocarb,0.1
??,Cotton seed,Prometryn,0.2
??,Cotton seed,Propargite,0.1
??,Cotton seed,Profenofos,3
??,Cotton seed,Fluazifop-butyl,0.1
??,Cotton seed,Pyraclostrobin,0.3
??,Cotton seed,Pyrethrins,1
??,Cotton seed,Pirimicarb,0.05
??,Cotton seed,Heptachlor : heptachlor ? heptachlor epoxide? ??,0.02
??,Cow' milk,Glyphosate,0.1
??,Cow' milk,Myclobutanil,0.1
??,Cow' milk,Methoprene,0.05
??,Cow' milk,Vinclozolin,0.05
??,Cow' milk,Kresoxim-methyl,0.01
??,Cow' milk,Clofentezine,0.01
??,Cow' milk,Triazophos,0.01
??,Cow' milk,Fenbuconazole,0.05
??,Cow' milk,Penconazole,0.01
??,Cow' milk,Fenpropathrin,0.1
??,Cow' milk,Fenpyroximate,0.005
??,Cow' milk,Flumethrin,0.05
??,Cow' milk,Flusilazole,0.01
????,Cranberry,Methoxyfenozide,0.5
????,Cranberry,Imidacloprid,0.04
????,Cranberry,Chlorantraniliprole,0.7
??,Crimson glory vine,Methomyl,2
??,Crimson glory vine,Methoxyfenozide,1
??,Crimson glory vine,Spinosad,0.05
??,Crimson glory vine,Simeconazole,3
??,Crimson glory vine,Iprovalicarb,5
??,Crimson glory vine,Indoxacarb,0.5
??,Crimson glory vine,Tetraconazole,3
??,Crimson glory vine,Trifloxystrobin,3
??,Crimson glory vine,Thiodicarb,2
??,Crimson glory vine,Famoxadone,5
??,Crimson glory vine,Prochloraz,3
??,Crimson glory vine,Fluquinconazole,3
??,Crown daisy,Novaluron,20
??,Crown daisy,Dimethomorph,20
??,Crown daisy,Diethofencarb,30
??,Crown daisy,Dichlofluanid,15
??,Crown daisy,Difenoconazole,7
??,Crown daisy,Myclobutanil,1
??,Crown daisy,Malathion,0.2
??,Crown daisy,Maleic hydrazide,25
??,Crown daisy,Methoxyfenozide,10
??,Crown daisy,Metribuzin,0.5
??,Crown daisy,Benomyl,10
??,Crown daisy,Bentazone,0.2
??,Crown daisy,Boscalid,20
??,Crown daisy,Cyazofamid,15
??,Crown daisy,Cypermethrin,5
??,Crown daisy,Cyhalothrin,0.5
??,Crown daisy,Sethoxydim,10
??,Crown daisy,Spinetoram,2
??,Crown daisy,Abamectin,0.05
??,Crown daisy,Acetamiprid,10
??,Crown daisy,Azoxystrobin,30
??,Crown daisy,Ethiofencarb,5
??,Crown daisy,Oxamyl,1
??,Crown daisy,Imidacloprid,2
??,Crown daisy,Indoxacarb,20
??,Crown daisy,Carbendazim,10
??,Crown daisy,Chlorfenapyr,2
??,Crown daisy,Chlorfluazuron,5
??,Crown daisy,Thiamethoxam,1
??,Crown daisy,Thiobencarb,0.2
??,Crown daisy,Thiophanate-methyl,10
??,Crown daisy,Parathion,0.3
??,Crown daisy,Parathion-Methyl,1
??,Crown daisy,Permethrin(Permetrin),3
??,Crown daisy,Pendimethalin,0.2
??,Crown daisy,Fenvalerate,3
??,Crown daisy,Fenbutatin oxide,2
??,Crown daisy,Fludioxonil,5
??,Crown daisy,Flufenoxuron,5
??,Crown daisy,Pyrethrins,1
??,Crown daisy,Pyridaryl(Pyridalyl),20
??,Crown daisy,Pirimicarb,2
??,Crown daisy,Pymetrozine,0.7
??,Cucumber,Glufosinate(ammonium),0.05
??,Cucumber,Nabam,1
??,Cucumber,Novaluron,0.5
??,Cucumber,Deltamethrin,0.5
??,Cucumber,Dinotefuran,1
??,Cucumber,Dimethomorph,0.7
??,Cucumber,Dimethoate,2
??,Cucumber,Dimethyl dithiocarbamates,1
??,Cucumber,DBEDC,3
??,Cucumber,Diafenthiuron,2
??,Cucumber,Diethofencarb,0.5
??,Cucumber,Dicofol,1
??,Cucumber,Dichlorvos : DDVP,1
??,Cucumber,Dichlofluanid,5
??,Cucumber,Dithianon,0.3
??,Cucumber,Dithiocarbamates,1
??,Cucumber,Difenoconazole,1
??,Cucumber,Diflubenzuron,1
??,Cucumber,Lepimectin,0.2
??,Cucumber,Lufenuron,0.2
??,Cucumber,maneb,1
??,Cucumber,Myclobutanil,1
??,Cucumber,Mandipropamid,0.5
??,Cucumber,Mancozeb,1
??,Cucumber,Malathion,0.05
??,Cucumber,Maleic hydrazide,25
??,Cucumber,Mevinphos,0.2
??,Cucumber,Methamidophos,1
??,Cucumber,Metaflumizone,0.5
??,Cucumber,Metalaxyl,1
??,Cucumber,Methomyl,0.2
??,Cucumber,Methoxychlor,14
??,Cucumber,Methoxyfenozide,0.3
??,Cucumber,Metrafenone,0.7
??,Cucumber,Metribuzin,0.5
??,Cucumber,Metiram,1
??,Cucumber,Methiocarb,0.3
??,Cucumber,Mepanipyrim,1
??,Cucumber,Meptyldinocap,1
??,Cucumber,Milbemectin,0.05
??,Cucumber,Valifenalate,0.3
??,Cucumber,Benalaxyl,0.3
??,Cucumber,Benomyl,1
??,Cucumber,Bensultap,0.2
??,Cucumber,Bentazone,0.2
??,Cucumber,benthiavalicarb-isopropyl,0.07
??,Cucumber,Benthiavalicarb-isopropyl,0.07
??,Cucumber,Benfuracarb,0.5
??,Cucumber,Boscalid,0.3
??,Cucumber,Buprofezin,1
??,Cucumber,Bistrifluron,0.5
??,Cucumber,Bitertanol,0.5
??,Cucumber,Bifenazate,0.5
??,Cucumber,Bifenthrin,0.5
??,Cucumber,Vinclozolin,1
??,Cucumber,Cymoxanil,0.3
??,Cucumber,Cymoxanil,0.3
??,Cucumber,Cyazofamid,0.5
??,Cucumber,Cyantraniliprole,0.5
??,Cucumber,Cypermethrin,0.2
??,Cucumber,Cyfluthrin,2
??,Cucumber,Cyhalothrin,0.5
??,Cucumber,Cyhexatin,0.5
??,Cucumber,Sulfoxaflor,0.5
??,Cucumber,Sethoxydim,10
??,Cucumber,Spinetoram,0.05
??,Cucumber,Spinosad,0.3
??,Cucumber,Spirodiclofen,0.5
??,Cucumber,Spiromesifen,0.5
??,Cucumber,Spirotetramat,0.3
??,Cucumber,Simeconazole,0.5
??,Cucumber,Hydrogen cyanide,5
??,Cucumber,Ametoctradin,0.5
??,Cucumber,Amisulbrom,0.7
??,Cucumber,Amitraz,0.5
??,Cucumber,Abamectin,0.01
??,Cucumber,Acetamiprid,0.7
??,Cucumber,Acephate,2
??,Cucumber,Isopyrazam,2
??,Cucumber,Azocyclotin,0.5
??,Cucumber,Azoxystrobin,0.5
??,Cucumber,Azinphos-methyl,0.3
??,Cucumber,Acrinathrin,0.5
??,Cucumber,Alanycarb,0.1
??,Cucumber,Emamectin benzoate,0.05
??,Cucumber,Ethaboxam,2
??,Cucumber,Ethephon,0.1
??,Cucumber,Etofenprox,5
??,Cucumber,Ethoprophos(Ethoprop),0.02
??,Cucumber,Etridiazole,0.2
??,Cucumber,Ethiofencarb,1
??,Cucumber,Omethoate,0.01
??,Cucumber,Ortho-PhenylPhenol,10
??,Cucumber,Oxadixyl,0.3
??,Cucumber,Oxamyl,2
??,Cucumber,Oxathiapiprolin,0.1
??,Cucumber,Imazalil,0.5
??,Cucumber,Iminoctadine,0.3
??,Cucumber,Imidacloprid,0.5
??,Cucumber,Imicyafos,0.2
??,Cucumber,Iprodione,5
??,Cucumber,Iprovalicarb,1
??,Cucumber,Indoxacarb,0.5
??,Cucumber,Zoxamide,0.5
??,Cucumber,Zineb,1
??,Cucumber,Ziram,1
??,Cucumber,Cadusafos,0.05
??,Cucumber,Carbaryl : NAC,0.5
??,Cucumber,Carbendazim,1
??,Cucumber,Carbosulfan,0.5
??,Cucumber,Carbofuran,0.5
??,Cucumber,Cartap hydrochloride,0.2
??,Cucumber,Captan,5
??,Cucumber,Kresoxim-methyl,0.5
??,Cucumber,Chlorantraniliprole,0.5
??,Cucumber,Chlorothalonil,5
??,Cucumber,Chlorfenapyr,0.5
??,Cucumber,Chlorpropham,0.05
??,Cucumber,Chlorpyrifos,0.5
??,Cucumber,Clothianidin,0.5
??,Cucumber,Tebuconazole,0.2
??,Cucumber,Tebufenozide,0.7
??,Cucumber,Tetradifon,1
??,Cucumber,Tetraconazole,1
??,Cucumber,Teflubenzuron,0.2
??,Cucumber,Tolylfluanid,2
??,Cucumber,Tralomethrin,0.5
??,Cucumber,Triadimenol,0.5
??,Cucumber,Triadimefon,0.2
??,Cucumber,Trichlorfon(DEP),1
??,Cucumber,Triforine,1
??,Cucumber,Trifloxystrobin,0.5
??,Cucumber,Trifluralin,0.05
??,Cucumber,Triflumizole,1
??,Cucumber,Thiram,1
??,Cucumber,Thiamethoxam,0.5
??,Cucumber,Thiacloprid,0.3
??,Cucumber,Thiodicarb,0.2
??,Cucumber,Thiobencarb,0.2
??,Cucumber,Thiocyclam,0.2
??,Cucumber,Thiophanate-methyl,1
??,Cucumber,Parathion,0.3
??,Cucumber,Parathion-Methyl,0.2
??,Cucumber,Famoxadone,0.3
??,Cucumber,Permethrin(Permetrin),0.5
??,Cucumber,Ferbam,1
??,Cucumber,Fenarimol,0.5
??,Cucumber,Fenamidone,0.1
??,Cucumber,Pendimethalin,0.2
??,Cucumber,Fenvalerate,0.2
??,Cucumber,Fenbuconazole,0.3
??,Cucumber,Fenbutatin oxide,2
??,Cucumber,Penconazole,0.1
??,Cucumber,Phenthoate : PAP,0.2
??,Cucumber,Penthiopyrad,0.5
??,Cucumber,Fenpropathrin,0.2
??,Cucumber,Fenpyrazamine,0.5
??,Cucumber,Fenhexamid,0.5
??,Cucumber,Fosetyl-aluminium,30
??,Cucumber,Fosthiazate,0.5
??,Cucumber,Phosphamidone,0.1
??,Cucumber,Folpet,5
??,Cucumber,Furathiocarb,0.5
??,Cucumber,Procymidone,2
??,Cucumber,Prochloraz,1
??,Cucumber,Propamocarb,2
??,Cucumber,Profenofos,2
??,Cucumber,Propineb,1
??,Cucumber,Flonicamid,2
??,Cucumber,Fludioxonil,0.7
??,Cucumber,Flubendiamide,1
??,Cucumber,Flusilazole,0.2
??,Cucumber,Fluazinam,0.05
??,Cucumber,Fluopyram,1
??,Cucumber,Fluopicolide,0.5
??,Cucumber,Fluquinconazole,1
??,Cucumber,Flutianil,0.05
??,Cucumber,Flufenoxuron,0.5
??,Cucumber,Fluxapyroxad,0.2
??,Cucumber,Pyrazophos,0.1
??,Cucumber,Pyraclostrobin,0.5
??,Cucumber,Pyrethrins,1
??,Cucumber,Pyridaben,1
??,Cucumber,Pyridaphenthion,0.2
??,Cucumber,Pyridaryl(Pyridalyl),0.5
??,Cucumber,Pyrimethanil,2
??,Cucumber,Pirimicarb,1
??,Cucumber,Pirimiphos-methyl,0.5
??,Cucumber,Pyribencarb,0.5
??,Cucumber,Pyriofenone,0.7
??,Cucumber,Pyriproxyfen,0.2
??,Cucumber,Pyrifluquinazon,0.3
??,Cucumber,Pymetrozine,0.2
??,Cucumber,Picarbutrazox,0.3
??,Cucumber,Picoxystrobin,1
??,Cucumber,Fipronil,0.1
??,Cucumber,Hexaconazole,0.05
????,Deer meat,Methidathion,0.02
????,Deer meat,Carbofuran,0.05
"?????(???, ?? ? ??) ??",Dried Brassica leafy vegetables,Dimethomorph,7
"?????(???, ?? ? ??) ??",Dried Brassica leafy vegetables,Methoxyfenozide,20
"?????(???, ?? ? ??) ??",Dried Brassica leafy vegetables,Acetamiprid,10
"?????(???, ?? ? ??) ??",Dried Brassica leafy vegetables,Etofenprox,7
"?????(???, ?? ? ??) ??",Dried Brassica leafy vegetables,Indoxacarb,10
"?????(???, ?? ? ??) ??",Dried Brassica leafy vegetables,Chlorfenapyr,3
"?????(???, ?? ? ??) ??",Dried Brassica leafy vegetables,Teflubenzuron,0.4
?????,Dried fruits,Methyl bromide : as Br ion,30
?????,Dried fruits,Aluminium phosphide(Hydrogen phosphide),0.1
?????,Dried fruits,Piperonyl butoxide,0.2
???????,Dried other plants,Aluminium phosphide(Hydrogen phosphide),0.01
?????,Dried vegetables,Methyl bromide : as Br ion,30
?????,Dried vegetables,Aluminium phosphide(Hydrogen phosphide),0.01
???,Durian,Chlorpyrifos,0.4
?,Egg,gamma-BHC,0.1
?,Egg,Glyphosate,0.1
?,Egg,Diquat,0.05
?,Egg,"DDT : Sum of p,p'-DDT, o,p'-DDT, p,p'-DDE and p,p'-TDE(DDD)",0.1
?,Egg,Dimethoate,0.05
?,Egg,Dimethipin,0.01
?,Egg,Diflubenzuron,0.05
?,Egg,"Lindane, £^-BHC",0.1
?,Egg,Myclobutanil,0.1
?,Egg,Methoprene,0.05
?,Egg,Methoxyfenozide,0.01
?,Egg,Methidathion,0.02
?,Egg,Bendiocarb,0.05
?,Egg,Cyromazine,0.2
?,Egg,Cypermethrin,0.05
?,Egg,Sulfoxaflor,0.1
?,Egg,Spinetoram,0.01
?,Egg,Acephate,0.1
?,Egg,Aldrin & Dieldrin,0.1
?,Egg,"2,4-D",0.01
?,Egg,Carbaryl : NAC,0.5
?,Egg,Carbendazim,0.1
?,Egg,Quintozene,0.03
?,Egg,Chlordane,0.02
?,Egg,Chlorpyrifos,0.01
?,Egg,Chlorpyrifos-methyl,0.05
?,Egg,Clofentezine,0.05
?,Egg,Triadimenol,0.05
?,Egg,Triadimefon,0.05
?,Egg,Paraquat,0.01
?,Egg,Permethrin(Permetrin),0.1
?,Egg,Fenbuconazole,0.05
?,Egg,Fenbutatin oxide,0.05
?,Egg,Fenpropathrin,0.01
?,Egg,Propargite,0.1
?,Egg,Profenofos,0.02
?,Egg,Propiconazole,0.05
?,Egg,Pirimicarb,0.05
?,Egg,Pirimiphos-methyl,0.05
?,Egg,Heptachlor : heptachlor ? heptachlor epoxide? ??,0.05
??,Eggplant,Dinotefuran,0.5
??,Eggplant,Diethofencarb,1
??,Eggplant,Dicofol,1
??,Eggplant,Dichlofluanid,1
??,Eggplant,Difenoconazole,0.5
??,Eggplant,Myclobutanil,1
??,Eggplant,Malathion,0.5
??,Eggplant,Maleic hydrazide,25
??,Eggplant,Methamidophos,1
??,Eggplant,Methomyl,0.2
??,Eggplant,Methoxychlor,14
??,Eggplant,Metrafenone,0.7
??,Eggplant,Metribuzin,0.5
??,Eggplant,Mepanipyrim,3
??,Eggplant,Milbemectin,0.1
??,Eggplant,Benomyl,2
??,Eggplant,Bentazone,0.2
??,Eggplant,Benfuracarb,0.1
??,Eggplant,Boscalid,0.7
??,Eggplant,Buprofezin,0.3
??,Eggplant,Bitertanol,0.5
??,Eggplant,Bifenazate,0.5
??,Eggplant,Bifenthrin,0.3
??,Eggplant,"4-CPA, 4-Chlorophenoxy acetate",0.05
??,Eggplant,Cyenopyrafen,2
??,Eggplant,Cypermethrin,0.2
??,Eggplant,Cyflumetofen,1
??,Eggplant,Cyfluthrin,2
??,Eggplant,Cyflufenamid,0.3
??,Eggplant,Cyhalothrin,0.5
??,Eggplant,Cyhexatin,0.1
??,Eggplant,Sulfoxaflor,0.2
??,Eggplant,Sethoxydim,10
??,Eggplant,Spinetoram,0.5
??,Eggplant,Spinosad,0.5
??,Eggplant,Spirodiclofen,2
??,Eggplant,Hydrogen cyanide,5
??,Eggplant,Amitraz,0.5
??,Eggplant,Abamectin,0.02
??,Eggplant,Acequinocyl,1
??,Eggplant,Acetamiprid,0.5
??,Eggplant,Acephate,5
??,Eggplant,Isopyrazam,0.7
??,Eggplant,Azocyclotin,0.1
??,Eggplant,Azoxystrobin,0.7
??,Eggplant,Azinphos-methyl,0.3
??,Eggplant,Emamectin benzoate,0.05
??,Eggplant,Etofenprox,0.5
??,Eggplant,Ethiofencarb,2
??,Eggplant,Oxadixyl,0.1
??,Eggplant,Oxamyl,2
??,Eggplant,Imazalil,0.5
??,Eggplant,Imidacloprid,1
??,Eggplant,"2,4-D",0.1
??,Eggplant,Cadusafos,0.05
??,Eggplant,Carbendazim,2
??,Eggplant,Carbosulfan,0.1
??,Eggplant,Carbofuran,0.1
??,Eggplant,Captan,5
??,Eggplant,Chlorantraniliprole,0.2
??,Eggplant,Chlorothalonil,3
??,Eggplant,Chlorfenapyr,0.5
??,Eggplant,Chlorpropham,0.05
??,Eggplant,Clothianidin,0.3
??,Eggplant,Terbufos,0.05
??,Eggplant,Tetraconazole,0.5
??,Eggplant,Triadimefon,0.2
??,Eggplant,Triforine,0.5
??,Eggplant,Trifluralin,0.05
??,Eggplant,Triflumizole,1
??,Eggplant,Thiamethoxam,0.2
??,Eggplant,Thiacloprid,0.1
??,Eggplant,Thiodicarb,0.2
??,Eggplant,Thiobencarb,0.2
??,Eggplant,Thiophanate-methyl,2
??,Eggplant,Parathion,0.3
??,Eggplant,Parathion-Methyl,1
??,Eggplant,Permethrin(Permetrin),1
??,Eggplant,Fenarimol,0.3
??,Eggplant,Fenamiphos,0.1
??,Eggplant,Fenazaquin,0.2
??,Eggplant,Pendimethalin,0.2
??,Eggplant,Fenvalerate,1
??,Eggplant,Fenbutatin oxide,2
??,Eggplant,Penthiopyrad,2
??,Eggplant,Fenhexamid,2
??,Eggplant,Furathiocarb,0.1
??,Eggplant,Procymidone,2
??,Eggplant,Prochloraz,2
??,Eggplant,Flonicamid,0.2
??,Eggplant,Fludioxonil,0.3
??,Eggplant,Fluopyram,2
??,Eggplant,Fluxapyroxad,0.5
??,Eggplant,Pyrethrins,1
??,Eggplant,Pyridaben,1
??,Eggplant,Pyrimethanil,2
??,Eggplant,Pirimicarb,1
??,Eggplant,Pyriofenone,0.7
??,Eggplant,Pyriproxyfen,1
??,Eggplant,Pyrifluquinazon,0.1
??,Eggplant,Pymetrozine,0.2
??,Eggplant,Hexaconazole,0.05
???(???),Endive,Imidacloprid,3
???(???),Endive,Fenvalerate,1
???(???),Endive,Pymetrozine,1
???,Fig,Dinotefuran,1
???,Fig,Dimethomorph,3
???,Fig,Buprofezin,1
???,Fig,Spinosad,1
???,Fig,Abamectin,0.05
???,Fig,Acequinocyl,2
???,Fig,Acetamiprid,0.3
???,Fig,Azoxystrobin,2
???,Fig,Emamectin benzoate,0.05
???,Fig,Etoxazole,0.3
???,Fig,Imidacloprid,0.3
???,Fig,Iprovalicarb,1
???,Fig,Zoxamide,0.5
???,Fig,Chlorfenapyr,0.5
???,Fig,Clothianidin,0.5
???,Fig,Tetradifon,1
???,Fig,Thiamethoxam,2
???,Fig,Fosetyl-aluminium,1
???,Fig,Flonicamid,0.5
???,Fig,Fluacrypyrim,0.5
???,Fig,Pymetrozine,0.5
???,Fresh pepper leaves,Diazinon,0.05
???,Fresh pepper leaves,Deltamethrin,5
???,Fresh pepper leaves,Diethofencarb,2
???,Fresh pepper leaves,Dithianon,3
???,Fresh pepper leaves,Malathion,1
???,Fresh pepper leaves,Metolachlor,0.05
???,Fresh pepper leaves,Milbemectin,1
???,Fresh pepper leaves,Bensultap,2
???,Fresh pepper leaves,Buprofezin,5
???,Fresh pepper leaves,Bitertanol,3
